File;TP;FP;FN;Precision;Recall;F1
p005_c1;31;3;17;0.9117647058823529;0.6458333333333334;0.7560975609756098
p005_c2;15;1;32;0.9375;0.3191489361702128;0.4761904761904763
p006_c1;18;7;18;0.72;0.5;0.5901639344262295
p006_c2;13;2;47;0.8666666666666667;0.21666666666666667;0.3466666666666666
p007_c1;23;4;15;0.8518518518518519;0.6052631578947368;0.7076923076923076
p008_c1;27;4;14;0.8709677419354839;0.6585365853658537;0.75
p009_c1;12;2;37;0.8571428571428571;0.24489795918367346;0.38095238095238093
p010_c1;12;0;11;1.0;0.5217391304347826;0.6857142857142856
p011_c1;26;0;3;1.0;0.896551724137931;0.9454545454545454
p011_c2;50;2;5;0.9615384615384616;0.9090909090909091;0.9345794392523366
p012_c1;17;3;8;0.85;0.68;0.7555555555555556
p012_c2;2;0;31;1.0;0.06060606060606061;0.1142857142857143
p013_c1;9;5;28;0.6428571428571429;0.24324324324324326;0.35294117647058826
p014_c1;19;1;21;0.95;0.475;0.6333333333333334
p015_c1;34;2;20;0.9444444444444444;0.6296296296296297;0.7555555555555556
p016_c1;2;0;35;1.0;0.05405405405405406;0.10256410256410257
p016_c2;0;0;23;0;0.0;0
p017_c1;17;6;35;0.7391304347826086;0.3269230769230769;0.4533333333333333
p017_c2;14;0;0;1.0;1.0;1.0
p018_c1;37;0;29;1.0;0.5606060606060606;0.7184466019417475
p018_c2;1;0;11;1.0;0.08333333333333333;0.15384615384615385
p019_c1;24;1;26;0.96;0.48;0.64
p019_c2;0;1;17;0.0;0.0;0
p020_c1;24;1;28;0.96;0.46153846153846156;0.6233766233766234
p021_c1;34;0;28;1.0;0.5483870967741935;0.7083333333333333
p021_c2;7;0;28;1.0;0.2;0.33333333333333337
p022_c1;3;0;76;1.0;0.0379746835443038;0.07317073170731708
p023_c1;27;2;14;0.9310344827586207;0.6585365853658537;0.7714285714285715
p024_c1;47;4;40;0.9215686274509803;0.5402298850574713;0.6811594202898551
p024_c2;0;0;73;0;0.0;0
p025_c1;46;0;59;1.0;0.4380952380952381;0.609271523178808
p026_c1;36;2;10;0.9473684210526315;0.782608695652174;0.8571428571428571
p026_c2;14;0;22;1.0;0.3888888888888889;0.56
p026_c3;36;1;19;0.972972972972973;0.6545454545454545;0.782608695652174
p027_c1;10;2;7;0.8333333333333334;0.5882352941176471;0.6896551724137931
p027_c2;14;0;8;1.0;0.6363636363636364;0.7777777777777778
